"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2014","272.6","210.9","297.8","217.7","7.08K","29.29%"
"Feb 24, 2014","153.6","272.6","252.1","129.0","12.05K","-43.65%"
"Feb 25, 2014","198.8","153.6","226.6","163.9","7.70K","29.36%"
"Feb 26, 2014","430.6","198.8","442.1","372.3","2.33K","116.67%"
"Feb 27, 2014","432.3","430.6","438.3","424.2","1.05K","0.39%"
"Feb 28, 2014","416.9","432.3","433.1","403.4","1.67K","-3.57%"
"Mar 01, 2014","420.2","416.9","421.5","406.9","0.47K","0.79%"
"Mar 02, 2014","412.9","420.2","422.4","412.5","0.35K","-1.73%"
"Mar 03, 2014","474.2","412.9","505.6","412.7","3.30K","14.84%"
"Mar 04, 2014","491.0","474.2","505.2","478.0","2.13K","3.55%"
"Mar 05, 2014","489.4","491.0","492.6","471.8","1.15K","-0.32%"
"Mar 06, 2014","481.1","489.4","490.3","475.4","0.85K","-1.69%"
"Mar 07, 2014","463.7","481.1","484.8","451.3","1.56K","-3.61%"
"Mar 08, 2014","455.7","463.7","464.9","444.7","0.67K","-1.73%"
"Mar 09, 2014","465.9","455.7","471.4","449.0","0.74K","2.23%"
"Mar 10, 2014","456.5","465.9","467.4","451.0","0.78K","-2.01%"
"Mar 11, 2014","459.9","456.5","462.3","451.2","0.63K","0.74%"
"Mar 12, 2014","459.0","459.9","470.0","456.0","0.79K","-0.18%"
"Mar 13, 2014","464.6","459.0","468.2","458.2","0.58K","1.22%"
"Mar 14, 2014","458.5","464.6","467.1","455.9","0.65K","-1.32%"
"Mar 15, 2014","460.1","458.5","465.2","453.6","0.39K","0.35%"
"Mar 16, 2014","459.1","460.1","461.4","457.0","0.19K","-0.22%"
"Mar 17, 2014","449.5","459.1","461.1","447.7","0.65K","-2.09%"
"Mar 18, 2014","445.5","449.5","455.5","435.1","1.09K","-0.89%"
"Mar 19, 2014","442.9","445.5","451.1","436.6","0.74K","-0.58%"
"Mar 20, 2014","426.4","442.9","443.4","420.0","0.92K","-3.73%"
